index,true_category,tfidf_pred,linguistic_pred,bert_pred,tfidf_correct,linguistic_correct,bert_correct,all_three_agree,all_correct,all_wrong,text_length,text_preview,hybrid_type
21,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,6814,a spectre is haunting europe the spectre of donald trump flying to the vatican this weekend and publicly feuding with international leaders in front of st peters basilica in the midst of the sombre ri...,disagree_mixed
22,Analytical,Feature,Analytical,Feature,False,True,False,False,False,False,10005,the nfl draft can be cruel shedeur sanders a polarizing prospect in a weak class whose profile was magnified by the fact that he is the son of hall of famer deion sanders had to sit and wait for his n...,disagree_mixed
29,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,4824,some veteran conservatives are so convinced that robert jenrick the ambitious shadow justice secretary is intent on striking an election pact with reform uk that they have nicknamed him nigels chancel...,disagree_mixed
30,Analytical,News,Feature,Analytical,False,False,True,False,False,False,5632,peter dutton is avoiding visiting any of the seven sites for his proposed nuclear reactors anthony albanese and the labor party claim arguing the issue has become radioactive for the coalition the lib...,disagree_mixed
31,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,4110,the contours of the white houses final peace proposal to halt the russian invasion of ukraine have come into focus with proposals to freeze the frontlines in exchange for terms that critics have terme...,disagree_mixed
33,Analytical,Analytical,Analytical,News,True,True,False,False,False,False,5734,when his jet lands in moscow steve witkoff donald trumps envoy and longtime friend will mark his fourth visit to russia this year a pointed gesture that says as much about who he is meeting as who he ...,disagree_mixed
34,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,7417,the us supreme court and other federal courts have begun flexing their muscles to push back on donald trump s efforts to defy judicial orders escalating a hugely consequential battle over the rule of ...,disagree_mixed
37,Analytical,News,Feature,Analytical,False,False,True,False,False,False,6460,the future of 19yearold playmaker lachlan galvin may be its catalyst but rugby leagues latest tugofwar is a very contemporary nrl saga it has been enriched this week by surprises including the presenc...,disagree_mixed
43,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,5075,the sky bible black was rent by lightning great belches of thunder reverberated around the east midlands rain thudded from the sky as the angels overcome could not contain themselves and in sympathy w...,disagree_mixed
44,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,9266,the showdown between donald trump and harvard university may have exploded into life this week but the battle represents just the latest step in what has been a decadeslong war waged by the right wing...,disagree_mixed
45,Analytical,Editorial,Analytical,Analytical,False,True,True,False,False,False,2603,the problems that now afflict attempts to establish a military presence in the far north of canada and greenland provide timely warnings about the miseries that lie ahead for the rest of the planet as...,disagree_mixed
48,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,8142,over the past few years consumers have grown used to seeing prices rise at an exorbitant rate the cost of everything from used cars to utility bills and the humble loaf of bread has rocketed in the wo...,disagree_mixed
51,Analytical,News,Analytical,News,False,True,False,False,False,False,5159,faced with a flurry of adverse court orders it would rather not follow the trump white house is increasingly deploying a strategy of claiming or even manufacturing its own uncertainty to dodge their e...,disagree_mixed
52,Analytical,Analytical,Analytical,News,True,True,False,False,False,False,10612,donald trump attended the first ultimate fighting championship event of his new presidency on saturday reveling off stage in a standing ovation from maga supporters and on stage in the barely controll...,disagree_mixed
55,Analytical,Feature,Review,Analytical,False,False,True,False,False,False,5698,where is your magic now as the night wore on at an increasingly sullen bernabu as the latest keepers of the real madrid shirt tried and failed to crank their way up through the emotional gears this fe...,disagree_mixed
56,Analytical,Analytical,Analytical,Editorial,True,True,False,False,False,False,4504,for all the negative stereotypes many politicians are thoughtful diligent and caring but they are also human and it is their more selfserving instincts that may have caused some to breathe a sigh of r...,disagree_mixed
57,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,6080,luis enrique had one word to describe gianluigi donnarumma sensationnel the paris saintgermain manager said switching briefly into french from his native spanish no translation required donnarumma was...,disagree_mixed
58,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,4265,reform uks manifesto last summer was clear a nigel farageled government would make it easier to hire and fire workers eight months on farage was at pains to praise trade unions saying his party had a ...,disagree_mixed
59,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,7931,the trump administration s promotion of white christian nationalists and prosperity gospel preachers to key government roles will lead to the further dismantling of government institutions and the chi...,disagree_mixed
60,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,3355,cooling inflation resilient wage growth and an economy outperforming expectations after the turmoil since donald trumps liberation day there are some signs that britain entered the crisis in reasonabl...,disagree_mixed
61,Analytical,Feature,Review,Analytical,False,False,True,False,False,False,4658,it was the 57th minute when unai emery made a series of small circles with his hands as the pulses of everyone else in this stadium began to race that little bit quicker emery tapped his temples remin...,disagree_mixed
62,Analytical,News,Analytical,Feature,False,True,False,False,False,False,5495,it might come to be seen as the moment the woke liberal empire of donald trumps most fevered imaginings struck back harvard university the worldrenowned institution emblematic of the elitism that trum...,disagree_mixed
64,Analytical,News,Analytical,Feature,False,True,False,False,False,False,6281,sitting alone at the end of a dinner party under chandeliers next to a table with white roses and leftover wine giorgia meloni and donald trump are locked in conversation it is early december and they...,disagree_mixed
66,Analytical,News,Analytical,Feature,False,True,False,False,False,False,5129,with its high ugly grey concrete perimeter walls hmp frankland looks as grim from the outside as you would expect for a place nicknamed monster mansion since it was opened in 1983 on the leafy outskir...,disagree_mixed
67,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,5788,the dismantling of the us agency for international development usaid has captured headlines but very regrettable reductions in european aid budgets are also contributing to a void in support for some ...,disagree_mixed
68,Analytical,Analytical,Feature,Analytical,True,False,True,False,False,False,5426,the coalition has run a wave of attack ads against the teal independents since january it has spent 137000 on facebook ads via its teals revealed page elsewhere billboards in key electorates promote i...,disagree_mixed
69,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,3080,it is difficult to find a term more fitting for the fate of the maryland father kilmar brego garca than kafkaesque brego garca is one of hundreds of foreignborn men deported under the trump administra...,disagree_mixed
72,Analytical,Editorial,Analytical,Analytical,False,True,True,False,False,False,4989,the turn of the millennium marked one of the most significant periods in womens tennis an audacious charismatic generation had stormed the tour usurping the old leaders and transforming the image of t...,disagree_mixed
74,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,2291,northwest italy is braced for heavy rainfall and thunderstorms across the southern side of the alps particularly in piedmont and liguria turin and genoa are expected to be among the worst affected wit...,disagree_mixed
77,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,4928,a flinch towards the ball that drew in ollie scarles a duck to get out of the way of it and a spin and burst that took him away from the 19yearold perhaps his cross on the run with the outside of his ...,disagree_mixed
83,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,8278,minutes after donald trump unveiled a climbdown on tariffs softening an extraordinary us attack on trade from much of the world his press secretary scolded reporters at the white house many of you in ...,disagree_mixed
85,Analytical,News,Feature,Analytical,False,False,True,False,False,False,5849,psst said the man whod just ambled up to the back of the gallery midway down the 15th fairway psssst he said again when everyone ignored him is that rorys ball no one wanted to turn away from the play...,disagree_mixed
86,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,3780,blast furnaces have been making steel in britain for 300 years ever since they helped start the industrial revolution this weekend parliament will sit for the first saturday in decades as it tries to ...,disagree_mixed
87,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,7213,by the time australians woke wednesday morning 3 april the world had changed in a single stroke of his pen a former reality tv star property mogul and now secondterm president of the most powerful cou...,disagree_mixed
89,Analytical,Analytical,Editorial,Feature,True,False,False,False,False,False,3492,earlier this year rachel reeves was being written off for having jeopardised britains economy the chancellors taxraising autumn budget had sapped business investment spooked the financial markets and ...,disagree_mixed
91,Analytical,News,News,Analytical,False,False,True,False,False,False,7630,donald trumps upending of the global economy has raised fears that climate action could emerge as a casualty of the trade war in the week that has followed liberation day economic experts have warned ...,disagree_mixed
92,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,4673,the sun was out on opening day at augusta and you could catch the reflection bouncing off phil mickelsons big old grin as he walked on to the first tee from the next county at 54 the americans smile s...,disagree_mixed
95,Analytical,News,Analytical,News,False,True,False,False,False,False,6837,donald trump may have stepped back from his huge tariff rises on every country except china which now faces at least 145 but the impact of the market chaos is likely to continue in the uk and beyond t...,disagree_mixed
102,Analytical,News,Analytical,Feature,False,True,False,False,False,False,4914,vietnam had tried to appease donald trump tariffs on us goods were reduced regulations were passed to allow elon musks spacex to launch its starlink in the country the prime minister pham minh chinh e...,disagree_mixed
105,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,4785,people travelled for that people got on planes decanted liquids into 100ml bottles queued at passport control booked taxis and hotels set the alarm for 430am counted down the days for that people brav...,disagree_mixed
106,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,5000,here it comes then the muchpromised collapse the improbable but somehow also deserved and collectively willed disintegration of these champions by default something like that anyway tell you what thou...,disagree_mixed
111,Analytical,Feature,Feature,Feature,False,False,False,True,False,True,4385,willie mullins has long been a walking embodiment of rudyard kiplings if someone with the preternatural ability to treat whatever the twin impostors of triumph and disaster lob at him with a shrug a s...,all_wrong
113,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,4819,after months of exerting extraordinary power over the us government and becoming a mascot for donald trumps new administration the first signs that elon musk may shift away from his prominent role in ...,disagree_mixed
116,Analytical,Feature,Review,Analytical,False,False,True,False,False,False,4927,there was a very summer 2022 feel to this england victory from the throwback of seeing a confident beth mead finding acres of space down the right to keira walsh hitting defencesplitting passes with e...,disagree_mixed
117,Analytical,Feature,Feature,Analytical,False,False,True,False,False,False,5733,not for the first time kevin de bruyne read the situation to perfection not for the first time he spotted the right play just a little earlier than everyone else and of course this was always his gift...,disagree_mixed
119,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,6324,the smash hit netflix show adolescence which explores a teenage murder fuelled by social media and toxic masculinity has renewed calls for social media bans in some countries one of the shows stars th...,disagree_mixed
121,Analytical,Editorial,Analytical,Analytical,False,True,True,False,False,False,5116,there is an abundance of reasons why staging the 2031 and 2035 womens world cups in the united states and uk respectively offers cause for delight the countries have wellestablished and emotionally in...,disagree_mixed
123,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,4728,in fairness to ange postecoglou it will go down as one of the great managerial earcuppings it was bitter it was undignified and rather than an act of defiance it is probably going to be remembered as ...,disagree_mixed
125,Analytical,News,News,News,False,False,False,True,False,True,4315,uk ministers are redoubling their efforts to agree a trade deal with donald trump after he announced sweeping 10 tariffs on british exports to the us downing street has said talks were at an advanced ...,all_wrong
126,Analytical,News,Analytical,Feature,False,True,False,False,False,False,4430,waving a big chart as a prop in the white house rose garden donald trump suggested his new tariff plan was simple reciprocal that means they do it to us and we do it to them very simple cant get simpl...,disagree_mixed
130,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,4708,there was an extraordinary moment in the seconds after diogo jota had scored the only goal of this merseyside derby as the home supporters seethed and writhed bodies tumbling a wave of noise barrellin...,disagree_mixed
132,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,4485,what is the best way to respond to donald trump and his sweeping tariffs keir starmer thinks the answer is to tread softly softly while engaging in intensive negotiations behind the scenes there are s...,disagree_mixed
133,Analytical,Analytical,News,News,True,False,False,False,False,False,7383,democrats were the clear winners in election contests on tuesday that offered a temperature check on the popularity of donald trump and elon musk in wisconsin susan crawford a liberal judge backed by ...,disagree_mixed
134,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,6878,on tuesday chinas military launched joint drills around taiwan sending ships planes and some bizarre propaganda videos across the strait to both warn and punish taiwans government over what beijing ca...,disagree_mixed
136,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,6570,if you want to understand the debate about bail reform in victoria and the gulf between the position taken by the allan government and the recommendations of experts you could do worse than consider t...,disagree_mixed
138,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,4360,during a quiet period in the relentless calendar three years ago the 16yearold jakub mensik received an unexpected proposal the czech who had just reached the boys singles final at the australian open...,disagree_mixed
140,Analytical,News,News,News,False,False,False,True,False,True,5563,australias dominant supermarkets coles and woolworths argue the competition regulator has found no evidence of pricegouging the claim undermines labors first big election campaign policy pledge that i...,all_wrong
144,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,7561,donald trump won back the white house with a promise to transform the us economy millions of americans struggling with higher prices and bigger bills elected a president who pledged to revive his coun...,disagree_mixed
145,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,5197,the moment that flipped manchester citys fa cup quarterfinal at bournemouth on its head initially went largely unnoticed as players made a beeline for the tunnel and supporters headed into the concour...,disagree_mixed
146,Analytical,Feature,Review,Analytical,False,False,True,False,False,False,4837,the man behind the counter at greggs on fishergate has never heard of a butter pie but try poundbakery over the street poundbakery doesnt do butter pie but try greenhalghs on the corner greenhalghs cl...,disagree_mixed
147,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,3761,the staggering cost of englands special educational needs and disability send crisis shows no sign of easing a guardian investigation has revealed councils will overspend on send services by nearly 2b...,disagree_mixed
148,Analytical,News,News,News,False,False,False,True,False,True,6664,a west virginia law signed this week bans synthetic dyes and preservatives in food a firstinthenation consumer protection led by republicans in the face of vociferous industry opposition west virginia...,all_wrong
149,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,5966,donald trump campaigned on the promise that he would crack down against propalestinian student protesters over the past few weeks he has forcefully followed through his administration has directed inv...,disagree_mixed
150,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,10721,default democrats are furious and they want their leaders to get mad too i wish youd be angry a constituent told representative gil cisneros a democrat of california at a recent town hall at an event ...,disagree_mixed
151,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,4756,even as modern life takes over history is everything in the fa cup the competitions newfound disdain for replays allowed nottingham forest to become the first team to win three consecutive fa cup pena...,disagree_mixed
153,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,5125,play at wembley score at wembley score again go back to wembley again yeah did i mention wembley eberechi eze has had a fairly decent last five days of his footballing life bookended here by a perform...,disagree_mixed
154,Analytical,News,Editorial,News,False,False,False,False,False,True,4194,british lenders are heading to the supreme court this week as they try to overturn a ruling that has propelled the car finance scandal to new heights triggering government intervention and prompting f...,all_wrong
158,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,3746,from one perspective having a standup row with an organisation meant to advise the government on a key policy area is a bit unseemly but it is fair to say that downing street is ready you could even s...,disagree_mixed
164,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,4435,at a press briefing in kyiv on tuesday explaining where initial usbrokered peace negotiations had got to ukraines president volodymyr zelenskyy struck a notably different tone long gone is the tetchin...,disagree_mixed
166,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,4715,not long before she was due on court for one of the more significant occasions of her career so far emma raducanu was pictured surrounded by her temporary team of the week jane odonoghue mark petchey ...,disagree_mixed
167,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,8052,the problem with the now infamous signal chat read around the world is not just that sensitive militaryoperations details were broadcast but that this reveals a pattern of what appears to be instituti...,disagree_mixed
168,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,3850,the climate crisis the uks target of reaching net zero greenhouse gas emissions and the green economy received not a single mention in rachel reevess spring statement on wednesday to green experts thi...,disagree_mixed
171,Analytical,News,News,Feature,False,False,False,False,False,True,6363,for more than a year students at us colleges and universities have participated in protests in support of palestine as israels war has killed more than 50000 palestinians in gaza since october 2023 st...,all_wrong
175,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,5088,pete hegseth the appointment of the fox news host to head the pentagon was highly controversial a former army national guard officer pete hegseth 44 has faced allegations of sexual misconduct financia...,disagree_mixed
177,Analytical,Analytical,Feature,Analytical,True,False,True,False,False,False,9102,speaker this budget builds on the progress weve made together its a plan to help with the cost of living cost of living is the first thing mentioned but you would hope its more than just a plan with t...,disagree_mixed
178,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,6476,if europe wasnt already on notice the extraordinary leak of deliberations by jd vance and other toplevel trump administration officials over a strike against the houthis in yemen was another sign that...,disagree_mixed
182,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,5680,the 2032 olympic games loom for brisbane residents with equal parts promise and fear on one hand there is the opportunity to write brisbanes name alongside some of the worlds great cities on the other...,disagree_mixed
183,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,5853,as the trump economy continues to perform with all the robustness and reliability of a tesla cybertruck one thing above anything else has come to be seen as a measure of how the us is faring the humbl...,disagree_mixed
187,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,5595,a minnesota judge s order earlier this month upheld the states authority to prosecute cannabisrelated crimes on tribal lands raising questions about indigenous sovereignty and the efficacy of social e...,disagree_mixed
189,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,5733,in gaza this weekend the mood is darker than it has been at perhaps any time in this long appalling war last tuesday israeli warplanes tanks artillery drones and ships launched a wave of strikes shatt...,disagree_mixed
190,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,4038,they say in cricket that one brings two something that has proved true in the case of the england and wales cricket boards postashes review on friday jon lewis was sacked as head coach of england wome...,disagree_mixed
191,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,5820,it is the time of year when seasonticket holders receive an email from their club spelling out how much it will cost to follow them through thick and thin once again the email often lands without warn...,disagree_mixed
192,Analytical,News,Analytical,News,False,True,False,False,False,False,4509,as economic uncertainty roils the us the price of gold has roared to record highs amid investors seeking a place to shield their cash from donald trump s scattergun trade wars a single ounce of gold c...,disagree_mixed
193,Analytical,Analytical,Feature,Analytical,True,False,True,False,False,False,5520,the international olympic committees presidentelect kirsty coventry did not initially have designs on a role in sports administration until she was thrust into it essentially by politics on 7 septembe...,disagree_mixed
194,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,5135,it was the 68th minute when jarrod bowen and anthony gordon trotted down the steps stripped and ready to come on as they waited on the touchline thomas tuchel leaned conspiratorially close imparting c...,disagree_mixed
195,Analytical,Analytical,Feature,Analytical,True,False,True,False,False,False,4945,the first thing with any new england manager is the visuals here it is a new way of standing a new energy a new outline how are we going to feel what is thomas tuchel do i like this thing what are the...,disagree_mixed
197,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,4831,depending on whose fault it eventually turns out to be this was a power cut in just the wrong or right place as britains biggest airport europes main gateway to the americas and the apple of rachel re...,disagree_mixed
198,Analytical,News,News,Analytical,False,False,True,False,False,False,5610,donald trumps shuttle diplomacy between russia and ukraine has at times resembled a game of broken telephone and the us presidents disregard for the details suggests the ceasefire he seeks is further ...,disagree_mixed
199,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,2148,extreme weather has caused at least 40 fatalities across parts of the us through the past week with a variety of hazards including tornadoes dust storms and wildfires across the midwest and south more...,disagree_mixed
202,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,3986,as a demand it is donald trump at his most confusing the american president appears at least according to marco rubio the us secretary of state to have told volodymyr zelenskyy on wednesday that ameri...,disagree_mixed
205,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,3936,amid the somewhat murky details emerging from donald trump and vladimir putins call on tuesday the two leaders discussed a halt on attacking energy infrastructure then russia immediately bombed ukrain...,disagree_mixed
206,Analytical,Feature,Review,Analytical,False,False,True,False,False,False,3786,as the fourth officials board was raised into the air at the start of the second half you could almost feel the mood among the home fans inside the joie stadium lifting their heartbeats stirring their...,disagree_mixed
209,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,5832,the centers for disease control and prevention cdc is planning to devote research dollars to the debunked myth that vaccines cause autism legitimizing stigma not only around vaccines but around autism...,disagree_mixed
210,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,4028,chelsea are unbeaten in 28 games under sonia bompastor with 26 wins and arrive in manchester for the first leg of their european quarterfinal as strong favourites to progress to the semifinals and har...,disagree_mixed
211,Analytical,Analytical,News,Analytical,True,False,True,False,False,False,7336,it is a casualty rate that would have unimaginable before the start of the israelhamas war more than 400 palestinians have been reported killed after 10 hours of resumed israeli airstrikes on tuesday ...,disagree_mixed
212,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,5521,their party is flatlining in the polls largely lacking in policies and on the verge of a heavy kicking in the local elections and yet in westminster many conservatives seem almost cheery what exactly ...,disagree_mixed
213,Analytical,Analytical,Editorial,Analytical,True,False,True,False,False,False,4059,donald trump began his conversation with vladimir putin with a simple demand a 30day ceasefire on land sea and air which ukraine has already signed up to as an initial measure on which to build toward...,disagree_mixed
214,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,5878,labor has announced a huge boost to medicare funding aimed at increasing the rate of bulk billing by gps in 2023 the government tripled the bulkbilling incentive for doctors who bulk billed pensioners...,disagree_mixed
215,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,5882,as the ceasefire in gaza extended from days into weeks and newly freed hostages began sharing grim details of their captivity benjamin netanyahus political room for manoeuvre seemed to shrink he was c...,disagree_mixed
218,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,4787,after a threemonth wait for restless fans since the conclusion of the group stage europes top clubs finally return to continental action this week as the womens champions league quarterfinals get unde...,disagree_mixed
219,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,8216,mclaren have gamechanging tyre interaction having played down a strong performance in testing there was no way to disguise reality at the australian grand prix during practice the field still looked c...,disagree_mixed
220,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,2211,at least 34 people have died across six states in the us in the past week as a powerful storm system swept through the midwest and south affecting missouri arkansas texas oklahoma kansas and mississip...,disagree_mixed
222,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,5083,sometimes football just cant help itself even now in its glazed and managed state plaything of propaganda machines and sharpfanged hedge funds it will still give you these moments will follow its own ...,disagree_mixed
223,Analytical,Feature,Review,Analytical,False,False,True,False,False,False,4697,the last few minutes are a kind of perfection liverpool score after a video assistant referee delay to make it 21 newcastle restart pump the ball into the liverpool corner and from that moment a kind ...,disagree_mixed
224,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,4405,jadon sancho will go down in history as having been on the pitch at the emirates stadium he was on the rightwing dressed in blue watching closely as a tepid game unfolded around him yet whether sancho...,disagree_mixed
225,Analytical,Analytical,News,Analytical,True,False,True,False,False,False,5034,donald trump keeps saying he inherited a terrible economy from joe biden and many americans believe him even though thats not true during his white house marketing event for tesla on tuesday trump sai...,disagree_mixed
226,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,6064,its impossible not to have noticed it cars have been getting bigger and bigger and suvs and fourdoor utes have become australias new family car gone are the days of the commodore or corolla fighting i...,disagree_mixed
227,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,4608,why would thames water invite tv cameras into its operations for a flyonthewall documentary nobody comes to work to put shit in rivers says the companys communications director near the start of thame...,disagree_mixed
228,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,7644,the trump administration is relying on an obscure provision of immigration law to justify deporting mahmoud khalil a legal permanent resident setting up a highstakes legal battle between the first ame...,disagree_mixed
229,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,4999,for a moment a brief flickering moment you just wondered whether it was all about to come crashing down scotland had just scored one of the great tries off the back of a twisty blistering run from bla...,disagree_mixed
231,Analytical,Editorial,Analytical,Analytical,False,True,True,False,False,False,2842,in 2018 a former deputy governor of swedens central bank predicted that by 2025 the country would probably be cashless seven years on that prediction has turned out to be pretty much true just one in ...,disagree_mixed
232,Analytical,Analytical,Review,Analytical,True,False,True,False,False,False,5301,it was 12 years ago that england came here chasing the grand slam it was stuart lancasters second six nations in charge and though an unconvincing home victory over italy had come the week before hope...,disagree_mixed
234,Analytical,Analytical,Analytical,Feature,True,True,False,False,False,False,5026,a sense that anything could happen on any given day a sense that had perhaps been receding at cheltenhams festival in recent years roared back with a vengeance in the west country leaving the bookmake...,disagree_mixed
236,Analytical,News,Feature,Analytical,False,False,True,False,False,False,6016,a warning to rashford there is logic to thomas tuchel rewarding marcus rashfords encouraging displays since joining aston villa by bringing him back into the fold the forward is devastating on his day...,disagree_mixed
237,Analytical,Feature,Review,Analytical,False,False,True,False,False,False,6809,well it didnt feel like a birthright sale or a betrayal of albion maybe if you squinted a bit or just heard the vowel sounds perhaps if youve already performed some kind of ad hoc selflobotomy using a...,disagree_mixed
238,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,8414,its not really about the tariffs not for australia the brutal humiliation meted out on camera to ukraine in the oval office nor canadas escalating war of invective and retaliatory sanctions related su...,disagree_mixed
241,Analytical,News,Feature,Analytical,False,False,True,False,False,False,5039,it was a welcome to florida that andrew tate was not expecting far less the warm embrace he believed he was entitled to the controversial influencer an accused rapist and human trafficker walked strai...,disagree_mixed
244,Analytical,News,Analytical,Analytical,False,True,True,False,False,False,3555,when tony blair looked back on his time in power he had a simple assessment of his decision to introduce the freedom of information act you idiot while the technology secretary peter kyle is a fan of ...,disagree_mixed
246,Analytical,Feature,Feature,Analytical,False,False,True,False,False,False,9866,one day diego simeone said in those quiet moments when they are alone with their thoughts and memories real madrids players will think of atltico madrid and how they made them suffer but the real trau...,disagree_mixed
247,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,5734,andoni iraola does not want automatons if space is there to be attacked bournemouths manager asks his players to be bold and seize the initiative it is about having faith in creative instincts throwin...,disagree_mixed
248,Analytical,Feature,Analytical,Analytical,False,True,True,False,False,False,4319,glory comes in many forms perhaps the best aston villa could hope for on wednesday was a game of little drama they had in effect won the tie in belgium last week the last thing they wanted was to have...,disagree_mixed
249,Analytical,News,Feature,News,False,False,False,False,False,True,5392,pick the bones out of that four openside flankers in the squad three flyhalves just two secondrows and one centre it does not stop there with a first start on the wing and a debut in waiting on the be...,all_wrong
